current_weight,current_bcs,mature_wt,birth_weight,tissue_adg,uterus_adg,dm_intake_lb_day,dm_intake_pct_bw,dm_intake_total,dm_pct,nem_mcal_day,nem_mcal_lb,crude_protein_lb_day,crude_protein_pct,calcium_g_day,calcium_pct,phosphorous_g_day,phosphorous_pct
700.0,5.0,1000.0,8.0,0.5,,18.4,2.6,11.0,60.0,8.3,0.45,1.8,9.7,24.0,0.29,16.0,0.19
700.0,5.0,1000.0,12.0,0.5,,19.8,2.8,12.0,61.0,8.1,0.41,2.1,10.5,28.0,0.31,18.0,0.2
700.0,5.0,1000.0,16.0,0.5,,21.2,3.0,13.3,62.5,8.2,0.38,2.4,11.3,33.0,0.34,21.0,0.22
800.0,6.0,1000.0,10.0,0.5,,20.9,2.6,12.7,61.0,9.4,0.45,2.0,9.6,27.0,0.28,18.0,0.19
800.0,6.0,1000.0,15.0,0.5,,22.7,2.8,14.2,62.5,9.4,0.41,2.4,10.6,32.0,0.32,21.0,0.21
800.0,6.0,1000.0,20.0,0.5,,24.5,3.1,15.7,64.0,9.4,0.39,2.8,11.4,38.0,0.34,25.0,0.22
900.0,7.0,1000.0,10.0,0.0,,20.9,2.3,12.4,59.0,8.8,0.42,1.9,9.0,24.0,0.25,17.0,0.18
900.0,7.0,1000.0,15.0,0.0,,22.8,2.5,13.9,61.0,9.0,0.39,2.3,10.0,29.0,0.28,20.0,0.19
900.0,7.0,1000.0,20.0,0.0,,24.4,2.7,15.2,62.0,8.7,0.36,2.7,10.9,35.0,0.31,23.0,0.21
850.0,5.0,1200.0,10.0,0.5,,21.5,2.5,12.9,60.0,9.5,0.44,2.1,9.7,28.0,0.29,19.0,0.19
850.0,5.0,1200.0,15.0,0.5,,23.2,2.7,14.1,61.0,9.2,0.4,2.4,10.6,33.0,0.32,22.0,0.21
850.0,5.0,1200.0,20.0,0.5,,25.0,2.9,15.6,62.5,9.2,0.37,2.8,11.4,39.0,0.34,25.0,0.22
950.0,6.0,1200.0,12.0,0.5,,23.9,2.5,14.6,61.0,10.6,0.44,2.3,9.7,32.0,0.29,21.0,0.19
950.0,6.0,1200.0,17.0,0.5,,25.8,2.7,16.1,62.5,10.7,0.42,2.7,10.5,37.0,0.32,24.0,0.21
950.0,6.0,1200.0,22.0,0.5,,27.5,2.9,17.5,63.5,10.6,0.38,3.1,11.3,43.0,0.34,28.0,0.22
1050.0,7.0,1200.0,12.0,0.0,,23.7,2.3,14.0,59.0,9.8,0.41,2.2,9.2,28.0,0.26,20.0,0.18
1050.0,7.0,1200.0,17.0,0.0,,25.4,2.4,15.2,60.0,9.5,0.37,2.6,10.1,34.0,0.29,23.0,0.2
1050.0,7.0,1200.0,22.0,0.0,,27.1,2.6,16.5,61.0,9.3,0.34,3.0,10.9,39.0,0.32,26.0,0.21
1020.0,5.0,1400.0,12.0,0.5,,24.6,2.4,14.7,59.5,10.5,0.43,2.4,9.6,33.0,0.29,22.0,0.19
1020.0,5.0,1400.0,17.0,0.5,,26.5,2.6,16.2,61.0,10.6,0.4,2.8,10.5,38.0,0.32,25.0,0.21
1020.0,5.0,1400.0,22.0,0.5,,28.3,2.8,17.5,62.0,10.4,0.37,3.2,11.2,44.0,0.34,28.0,0.22
1120.0,6.0,1400.0,15.0,0.5,,27.5,2.5,16.8,61.0,11.8,0.43,2.7,9.8,37.0,0.3,25.0,0.2
1120.0,6.0,1400.0,20.0,0.5,,29.2,2.6,18.1,62.0,11.7,0.4,3.1,10.5,43.0,0.32,28.0,0.21
1120.0,6.0,1400.0,25.0,0.5,,31.0,2.8,19.5,63.0,11.6,0.37,3.5,11.2,48.0,0.34,31.0,0.22
1220.0,7.0,1400.0,15.0,0.0,,27.0,2.2,15.9,59.0,10.7,0.4,2.6,9.5,34.0,0.28,24.0,0.19
1220.0,7.0,1400.0,20.0,0.0,,28.7,2.4,17.2,60.0,10.5,0.37,2.9,10.3,39.0,0.3,27.0,0.21
1220.0,7.0,1400.0,25.0,0.0,,30.4,2.5,18.5,61.0,10.3,0.34,3.3,11.0,45.0,0.33,30.0,0.22
